Id,Price
4567,163869.01741772395
5925,132721.15625171806
960,137593.88395393125
3848,125457.00326254936
746,179043.8415072663
868,341627.9549119541
672,127060.43048178656
2471,202928.59750259077
4510,127863.39147238569
8354,237328.0109201281
6393,176400.7292954944
13270,253591.86308001413
5250,249410.10165553336
16751,172394.75671129898
11404,131183.50345363194
10588,320243.54536068765
14925,190145.41763489525
6791,236846.13479937188
16097,198634.03158493116
16428,370777.48311445856
6945,336193.1136766245
3190,192558.11621711467
15709,461494.39455908
13155,176548.94186945964
7675,207167.9569722821
14686,242912.100184475
609,167883.95998959983
11155,131285.41353081612
10869,207990.2742474578
15742,183593.06808030113
9245,194548.24296018877
3340,173534.68806696235
2359,284193.41977755266
8070,200349.84189498058
13707,130509.40112860543
16079,260139.40294339292
15937,255131.52016157028
14090,184324.73845891745
9008,200136.69160140216
16384,171001.52120603065
11657,253315.64135382307
13151,139083.11241611495
8990,162383.52025009244
11857,183864.86176330756
1565,142024.2668666952
8174,97552.14394869326
9247,241366.28817036655
10478,212687.02512416427
15509,146910.93820135554
8306,197069.41584971666
6642,197221.82355827675
7472,230594.86377208284
15989,135856.90079737673
13682,136417.5575686715
163,291380.42818845884
7076,186164.90021118935
7478,333395.9313049588
3029,192171.36857925795
1814,141934.56233647437
10057,130066.58111323278
15100,186429.50672797044
12694,221628.59116227788
6291,177659.64131216088
12603,195344.9090941186
3218,245274.10639847378
13456,130107.43083352543
10170,245557.91768365938
4530,150331.4197050383
13329,162046.90628015267
4820,158551.44874348195
10896,167807.1644426025
13416,117631.82739850787
2701,224977.37492365218
11265,349565.5551791322
9189,302148.19189178577
1858,202323.79011721764
14536,246104.6819995441
6199,305857.80512404104
14730,151728.55622165292
7510,260893.65600530544
15505,164232.0181767767
7446,195137.6578952366
14016,176539.04980192965
14113,117580.20578004564
8721,269854.22880044265
6193,264497.06676317425
5717,175326.58337426445
5427,263463.6867823601
9520,567167.7246007854
6869,99160.49789310741
1658,156227.19164028735
6639,206373.31371133085
6283,198124.66292448915
6257,127343.85935257438
15235,183903.57783152844
902,231589.4638536377
8932,197766.7860243195
16469,327184.09900339984
2825,282736.7007678314
6450,437831.0557584024
11366,173070.00291092668
3801,328186.3004452463
11385,230089.23343975836
1079,198458.15262977974
3202,237052.9094610696
676,216086.69913431714
6185,278066.01612532005
7730,169706.42049289471
2573,179627.42416252027
10978,206908.6348647718
10962,246092.511876833
8870,200424.78062290413
8496,176132.18213345282
5517,162992.46485552474
927,187781.01801865664
13675,190720.6590805539
1499,222433.78990986894
15536,333019.2690823876
8602,329393.03217000637
12137,465199.7054294944
9865,252140.79804948287
16353,286390.0215852358
15908,223048.50146266675
3944,177612.47698668105
10359,198424.04697627536
15158,225915.37450131358
3259,236905.68514400427
7220,322114.0924506005
13843,206507.74225250963
16736,196518.0797726646
702,266999.99530311604
16401,77656.94871306757
12134,172765.7467565431
6918,191540.446125245
11792,130936.00040102113
3798,124730.47781935289
10395,132970.53654722887
11099,138480.19395518315
7090,196415.61924177923
11260,190437.94548632353
9647,218528.1952770248
2903,420511.1518314746
2071,183907.50311922177
8604,185344.5842980759
9346,225411.78507357155
3945,217980.56781996123
3420,126428.18957413668
10842,127328.14052589782
725,164387.68284049706
13931,203627.6208334182
16330,236159.87627491058
9066,441435.8818960599
3326,288742.04014509975
1556,279573.5211893846
6579,107138.93016124524
13877,139840.30488502016
9857,313119.3330365365
7302,246918.2621099443
5684,187269.9070520592
6513,228338.7910033394
11342,113733.03092050953
16561,230803.2418491229
6885,173538.57618136192
9308,185063.12139710932
2559,172661.5251552075
6648,181397.5814777084
15260,174386.39252609565
5113,194239.46759769987
16492,193370.09648770778
12034,284359.1197973666
7248,203302.1703313808
2171,201255.6283080672
10594,173538.25150312536
13241,207275.63956278862
7032,147971.03056132377
4884,154400.8463584243
903,240284.4317056974
162,168270.47332487846
6566,239609.0034114474
8249,137106.38425194426
13106,178295.90083087355
256,128409.97387946145
7976,169177.69707270397
8575,166602.10336807798
7591,307610.1241327879
3204,238398.08462302468
15804,193720.61638960754
1525,286302.8874926947
9038,206568.76848658652
13628,200571.86941354274
10016,201357.8303033761
10208,219334.50884876613
2008,194949.53892229835
13029,196511.14091396323
5099,127400.97640423186
9923,282082.4902947159
9461,133618.89568677827
11086,175325.41996042128
15057,238591.7856928711
10689,170883.8220640722
2053,230704.43749142517
16630,183833.3210790024
4985,156583.01361491065
13881,229219.97429618766
13225,193370.09648770778
5779,67775.68958938708
10262,181766.00085611886
10762,211914.57671403067
9513,186632.8774586709
11128,164864.71020733344
2074,301352.50362823566
933,180038.9448182118
2780,185977.8862450027
6594,114541.28196972983
15394,271200.6068251609
14863,137310.82671729132
